[2026-03-29T16:22:09.311Z] GET http://localhost:3000/_next/static/chunks/0e2d1_react-icons_lib_1c799a63._.js → 200 (272ms, 10201B)
[2026-03-29T16:22:09.311Z] GET http://localhost:3000/_next/static/chunks/8dfe4_motion-dom_dist_es_b7a269f8._.js → 200 (274ms, 329198B)
[2026-03-29T16:22:09.311Z] GET http://localhost:3000/_next/static/chunks/65438_framer-motion_dist_es_1cc8c47b._.js → 200 (274ms, 695461B)
[2026-03-29T16:22:09.311Z] GET http://localhost:3000/_next/static/chunks/3b792_%40radix-ui_react-select_dist_index_mjs_c5d5884b._.js → 200 (274ms, 142070B)
[2026-03-29T16:22:09.311Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_26bdf0df._.js → 200 (295ms, 3055992B)
[2026-03-29T16:22:09.311Z] GET http://localhost:3000/_next/static/chunks/src_app_%5Blocale%5D_(landing)_layout_tsx_7185812b._.js → 200 (274ms, 1432B)
[2026-03-29T16:22:09.414Z] GET http://localhost:3000/_next/image?url=%2Flogo.png&w=128&q=75 → 200 (174ms, 3660B)
[2026-03-29T16:22:09.523Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (63ms, 15433B)
[2026-03-29T16:22:09.523Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_7c97ff8e._.js → 200 (63ms, 288B)
[2026-03-29T16:22:09.895Z] GET http://localhost:3000/api/auth/get-session → 200 (19ms, 4B)
[2026-03-29T16:22:10.049Z] POST http://localhost:3000/api/config/get-configs → 200 (7ms, ?B)
[2026-03-29T16:22:10.050Z] GET http://localhost:3000/_next/static/chunks/8ac24_lucide-react_dist_esm_icons_index_0219259b.js → 200 (6ms, 1195710B)
[2026-03-29T16:22:10.050Z] GET http://localhost:3000/_next/static/chunks/8ac24_lucide-react_dist_esm_icons_188f0f1e._.js → 200 (7ms, ?B)
[2026-03-29T16:22:10.050Z] GET http://localhost:3000/_next/static/chunks/8ac24_lucide-react_dist_esm_lucide-react_7cdddfe5.js → 200 (7ms, ?B)
[2026-03-29T16:22:10.050Z] GET http://localhost:3000/_next/static/chunks/8ac24_lucide-react_dist_esm_lucide-react_98a3648a.js → 200 (6ms, 4353B)
[2026-03-29T16:22:10.050Z] GET http://localhost:3000/_next/static/chunks/8ac24_lucide-react_dist_esm_lucide-react_10c20a0f.js → 200 (6ms, 488B)
[2026-03-29T16:22:11.897Z] GET http://localhost:3000/api/auth/get-session → 200 (9ms, 4B)
[2026-03-29T16:22:41.220Z] GET http://localhost:3000/templates → 200 (160ms, 320280B)
[2026-03-29T16:22:41.385Z] GET http://localhost:3000/_next/static/media/248e1dc0efc99276-s.p.8a6b2436.woff2 → 200 (?ms, ?B)
[2026-03-29T16:22:41.385Z] GET http://localhost:3000/_next/static/media/70bc3e132a0a741e-s.p.15008bfb.woff2 → 200 (?ms, ?B)
[2026-03-29T16:22:41.385Z] GET http://localhost:3000/_next/static/media/7da1b2d9318915d2-s.p.92ab040f.woff2 → 200 (?ms, ?B)
[2026-03-29T16:22:41.385Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__91d07e23._.css → 200 (11ms, 221116B)
[2026-03-29T16:22:41.392Z] GET http://localhost:3000/_next/static/chunks/_62a69acd._.css → 200 (4ms, 240392B)
[2026-03-29T16:22:41.392Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_ef001724._.js → 200 (6ms, 671B)
[2026-03-29T16:22:41.392Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_compiled_react-dom_4237bb50._.js → 200 (54ms, 1049957B)
[2026-03-29T16:22:41.393Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_compiled_react-server-dom-turbopack_545e4e78._.js → 200 (18ms, 169605B)
[2026-03-29T16:22:41.393Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_compiled_next-devtools_index_80d26b5a.js → 200 (95ms, 802174B)
[2026-03-29T16:22:41.393Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_compiled_11f73bb0._.js → 200 (35ms, 151128B)
[2026-03-29T16:22:41.393Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_client_90f795e1._.js → 200 (53ms, 720353B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_cf285c57._.js → 200 (36ms, 231821B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/69652_%40swc_helpers_cjs_679851cc._.js → 200 (36ms, 2050B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (36ms, 734B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/turbopack-_1d05b01b._.js → 200 (36ms, 74127B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_5de63cc9._.js → 200 (36ms, 136023B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_client_components_builtin_global-error_a04c1d2a.js → 200 (36ms, 255B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/_740e6404._.js → 200 (52ms, 110441B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_a04c1d2a._.js → 200 (38ms, 296B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/473c5_better-auth_dist_44dedc21._.js → 200 (95ms, 551947B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/e1ac8_zod_v4_509e264b._.js → 200 (113ms, 1000732B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/f6abc_jose_dist_webapi_0eeb85ce._.js → 200 (95ms, 151681B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_40f3866a._.js → 200 (114ms, 772632B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/_85ebead6._.js → 200 (95ms, 54658B)
[2026-03-29T16:22:41.394Z] GET http://localhost:3000/_next/static/chunks/src_app_%5Blocale%5D_layout_tsx_c987208b._.js → 200 (95ms, 450B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_85ba174c._.js → 200 (94ms, 1421B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/src_shared_91182072._.js → 200 (128ms, 1064128B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/src_themes_default_blocks_6739c4a4._.js → 200 (113ms, 654441B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/src_1e6ecc0a._.js → 200 (110ms, 18833B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/17c6b_fumadocs-ui_dist_aa11511f._.js → 200 (113ms, 136432B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/0894d_tailwind-merge_dist_bundle-mjs_mjs_49fc4ea1._.js → 200 (114ms, 138785B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_6837ec7f._.js → 200 (128ms, 194830B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/a8b74_entities_lib_esm_cdd6ab3b._.js → 200 (128ms, 158914B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/f0ca5_markdown-it_9ee8618f._.js → 200 (136ms, 262534B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/fe446_overtype_dist_overtype_esm_78b98aa3.js → 200 (136ms, 156327B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/a3382_%40mdx-js_mdx_lib_e07d5c61._.js → 200 (158ms, 129420B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/370a7_acorn_dist_42c01c8f._.js → 200 (210ms, 531642B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/b5ecd_micromark-core-commonmark_dev_lib_bc76a96f._.js → 200 (182ms, 374108B)
[2026-03-29T16:22:41.395Z] GET http://localhost:3000/_next/static/chunks/f545a_micromark_dev_lib_2a08bc19._.js → 200 (182ms, 131189B)
[2026-03-29T16:22:41.396Z] GET http://localhost:3000/_next/static/chunks/5a5ae_yaml_browser_bbdbeeb7._.js → 200 (214ms, 480943B)
[2026-03-29T16:22:41.396Z] GET http://localhost:3000/_next/static/chunks/0e2d1_react-icons_ri_index_mjs_17f89a80._.js → 200 (271ms, 3502401B)
[2026-03-29T16:22:41.396Z] GET http://localhost:3000/_next/static/chunks/0e2d1_react-icons_lib_1c799a63._.js → 200 (181ms, 10201B)
[2026-03-29T16:22:41.396Z] GET http://localhost:3000/_next/static/chunks/8dfe4_motion-dom_dist_es_b7a269f8._.js → 200 (214ms, 329198B)
[2026-03-29T16:22:41.396Z] GET http://localhost:3000/_next/static/chunks/65438_framer-motion_dist_es_1cc8c47b._.js → 200 (216ms, 695461B)
[2026-03-29T16:22:41.396Z] GET http://localhost:3000/_next/static/chunks/3b792_%40radix-ui_react-select_dist_index_mjs_c5d5884b._.js → 200 (215ms, 142070B)
[2026-03-29T16:22:41.396Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_26bdf0df._.js → 200 (285ms, 3055992B)
[2026-03-29T16:22:41.396Z] GET http://localhost:3000/_next/static/chunks/src_app_%5Blocale%5D_(landing)_layout_tsx_7185812b._.js → 200 (215ms, 1432B)
[2026-03-29T16:22:41.427Z] GET http://localhost:3000/_next/image?url=%2Flogo.png&w=128&q=75 → 304 (88ms, ?B)
[2026-03-29T16:22:41.427Z] GET http://localhost:3000/_next/image?url=%2Flogo.png&w=1080&q=75 → 200 (363ms, 24712B)
[2026-03-29T16:22:41.500Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (112ms, 15433B)
[2026-03-29T16:22:41.504Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_7c97ff8e._.js → 200 (108ms, 288B)
[2026-03-29T16:22:41.791Z] GET http://localhost:3000/api/auth/get-session → 200 (46ms, 4B)
[2026-03-29T16:22:41.835Z] POST http://localhost:3000/api/config/get-configs → 200 (2ms, 214B)
[2026-03-29T16:22:41.835Z] GET http://localhost:3000/_next/static/chunks/8ac24_lucide-react_dist_esm_icons_index_0219259b.js → 200 (17ms, 1195710B)
[2026-03-29T16:22:41.835Z] GET http://localhost:3000/_next/static/chunks/8ac24_lucide-react_dist_esm_icons_188f0f1e._.js → 200 (55ms, 2892058B)
[2026-03-29T16:22:41.835Z] GET http://localhost:3000/_next/static/chunks/8ac24_lucide-react_dist_esm_lucide-react_7cdddfe5.js → 200 (37ms, 2384448B)
[2026-03-29T16:22:41.835Z] GET http://localhost:3000/_next/static/chunks/8ac24_lucide-react_dist_esm_lucide-react_98a3648a.js → 200 (2ms, 4353B)
[2026-03-29T16:22:41.835Z] GET http://localhost:3000/_next/static/chunks/8ac24_lucide-react_dist_esm_lucide-react_10c20a0f.js → 200 (2ms, 488B)
[2026-03-29T16:22:43.789Z] GET http://localhost:3000/api/auth/get-session → 200 (8ms, 4B)
[2026-03-29T16:23:08.330Z] GET http://localhost:3000/templates/sales → pending (?ms, ?B)
[2026-03-29T16:23:08.745Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → pending (?ms, ?B)
[2026-03-29T16:23:09.702Z] GET http://localhost:3000/_next/static/media/248e1dc0efc99276-s.p.8a6b2436.woff2 → 200 (?ms, ?B)
[2026-03-29T16:23:09.702Z] GET http://localhost:3000/_next/static/media/70bc3e132a0a741e-s.p.15008bfb.woff2 → 200 (?ms, ?B)
